Title,Company,Location,Date Posted,Link
Senior Data Engineer - Databricks,Cognizant Technology Solutions Australia Pty Ltd,Sydney NSW,Listed six days ago,https://www.seek.com.au/job/90547334?type=standard&ref=search-standalone&origin=jobCard#sol=84bb0e3e9de6d7b5c99790c2b304814921e50056
Senior Machine Learning Engineer,Hydrogen Group Pty Ltd,Sydney NSW,Listed thirteen days ago,https://www.seek.com.au/job/90390713?type=standard&ref=search-standalone&origin=jobCard#sol=1b786b560c9cf4f468c324810b0666aa00d74311
"Senior Software Engineer, Azure Experience & Ecosystems",Microsoft,Sydney NSW,Listed seventeen days ago,https://www.seek.com.au/job/90323932?type=standard&ref=search-standalone&origin=jobCard#sol=b0c7ae8949b753ef4c640b0276e9d97d0b8f9ea8
Lead Data Engineer,The Onset,Sydney NSW,Listed fifteen days ago,https://www.seek.com.au/job/90354026?type=standard&ref=search-standalone&origin=jobCard#sol=5611e2514487d0f4a433b2ef80402ddac1f88944
Senior Back-end Developer - Node.js / TypeScript,Peoplebank Australia NSW,Sydney NSW,Listed thirteen days ago,https://www.seek.com.au/job/90383487?type=standard&ref=search-standalone&origin=jobCard#sol=62816c9ef84fcb47e6a302b7a78ccb1779a9f097
Backend Software Engineer (IoT / Rust),Tenth Revolution Group,Sydney NSW,Listed twenty three days ago,https://www.seek.com.au/job/90200176?type=standard&ref=search-standalone&origin=jobCard#sol=d73c67c73235d242bac9a04997c00183c8dcd7e9
Platform Engineer - Developer Experience,Talenza,Sydney NSW,Listed sixteen days ago,https://www.seek.com.au/job/90343304?type=standard&ref=search-standalone&origin=jobCard#sol=02454af7b48301c1c9099f86fd597d1681fee7c1
Data Engineer,DATAIQ,Norwest,,https://www.seek.com.au/job/90209621?type=promoted&ref=search-standalone&origin=jobCard#sol=cec2c3647e9bc615bc1dfb359d6cf0d3f92da139
Head of Software Engineering (Core Engineering),BrainEye,Sydney NSW,,https://www.seek.com.au/job/90205789?type=promoted&ref=search-standalone&origin=jobCard#sol=4addd19949a7ed1803f2d37219387365ae53307c
Data Engineer (12-month Max Term),hummgroup,Sydney NSW,Listed twenty four days ago,https://www.seek.com.au/job/90182169?type=standard&ref=search-standalone&origin=jobCard#sol=4676bfd561ab1199b3f628d00e79b6193deafcc4
"Data Engineers (2 roles, 12- month FTC)",HCF Australia,Sydney NSW,Listed twenty seven days ago,https://www.seek.com.au/job/90088534?type=standard&ref=search-standalone&origin=jobCard#sol=8149153109e60c8e1b38c0b1b996859897d39531
Senior Data Engineer,Cognizant Technology Solutions Australia Pty Ltd,Sydney NSW,Listed twenty five days ago,https://www.seek.com.au/job/90154441?type=standard&ref=search-standalone&origin=jobCard#sol=b625d23b0c55520a2baa628c190b186a648810da
Full Stack Generative AI Developer,1QLabs,Sydney NSW,Listed more than one day ago,https://www.seek.com.au/job/90057893?type=standard&ref=search-standalone&origin=jobCard#sol=824412310322745b3fcf34f075f3f56941113f4a
LabVIEW Developer,BT Imaging Pty Ltd,Waterloo,Listed twelve days ago,https://www.seek.com.au/job/90423534?type=standard&ref=search-standalone&origin=jobCard#sol=cd06d3f01b4f7f0bd85ea90f259ea92c11c49f0b
Lead AI Engineer,TalentLink,Sydney NSW,Listed seventeen days ago,https://www.seek.com.au/job/90320398?type=standard&ref=search-standalone&origin=jobCard#sol=42cab9b214e0558c0c4a24539a1143e2e95b5730
Platform Support Engineer - Recently Acquired & Growing Australian FinTech!,The Argyle Network,Sydney NSW,Listed twenty days ago,https://www.seek.com.au/job/90248617?type=standard&ref=search-standalone&origin=jobCard#sol=4c3aa980542c0e4ace3ea8d58e5df54c95260385
Senior Full-Stack Engineer,HealthMatch,Sydney NSW,Listed twenty one days ago,https://www.seek.com.au/job/90237470?type=standard&ref=search-standalone&origin=jobCard#sol=1c761756b2e6cf6f0af36e9161c9237ed4b461dd
Senior Embedded Software Engineer,Farmbot Australia Pty Ltd,Roseville,Listed six days ago,https://www.seek.com.au/job/90545715?type=standard&ref=search-standalone&origin=jobCard#sol=c26b067f8dc8c9b8024359370c9c8de331e78e7c
Lead Big Data Engineer,Paxus,Sydney NSW,Listed one hour ago,https://www.seek.com.au/job/90671378?type=standard&ref=search-standalone&origin=jobCard#sol=d76bcf8c6c9c3c466348fcbba4b5601dc0b105d6
Junior Programmer / Technical Build Technician,Labyrinth Escape Rooms,Parramatta,Listed twenty hours ago,https://www.seek.com.au/job/90648288?type=standard&ref=search-standalone&origin=jobCard#sol=99f0ba8b17f44cd6cac0d205767a2a1a4002bbb2
Lead Platform Engineer - GenAI Developer Tooling,Peoplebank Australia NSW,Sydney NSW,Listed eleven days ago,https://www.seek.com.au/job/90428742?type=standard&ref=search-standalone&origin=jobCard#sol=4196443d8b8e3cb4c96c5bed486e85af937a4a6c
Lead Data Scientist,Lendi Group,Sydney NSW,Listed thirteen days ago,https://www.seek.com.au/job/90389994?type=standard&ref=search-standalone&origin=jobCard#sol=47a1a23f4b68a4b929448bb7b4633ed47dfcc340
AWS Data Engineer,Accenture,Sydney NSW,Listed five days ago,https://www.seek.com.au/job/90574436?type=standard&ref=search-standalone&origin=jobCard#sol=a59989424b33cf50bdd2c2c24857b81160bacb89
Senior Software Engineer,Microsoft,Sydney NSW,Listed seventeen days ago,https://www.seek.com.au/job/90326451?type=standard&ref=search-standalone&origin=jobCard#sol=e5187a835b11976001925dd6da164a5289fadba3
Software Engineer II,Microsoft,Sydney NSW,Listed four days ago,https://www.seek.com.au/job/90583423?type=standard&ref=search-standalone&origin=jobCard#sol=ebc3603338ed6cd394a02ea345fe38f315125908
Senior Software Engineer - Azure Storage,Microsoft,Sydney NSW,Listed seventeen days ago,https://www.seek.com.au/job/90327021?type=standard&ref=search-standalone&origin=jobCard#sol=49885fdfdca46d444a5b8be6f411b49ae52a5c18
AWS Data Engineer- (Terraform),"Talent – Specialists in tech, transformation & beyond",Sydney NSW,Listed twenty days ago,https://www.seek.com.au/job/90263641?type=standard&ref=search-standalone&origin=jobCard#sol=ae6983f5840647f892cd81a72642db9c77cce91d
Software Engineer,Microsoft,Sydney NSW,Listed five days ago,https://www.seek.com.au/job/90551498?type=standard&ref=search-standalone&origin=jobCard#sol=35720433b03fc16b1714128cd1283d8fb56500a2
Principal Software Engineer,Schneider Electric,Macquarie Park,Listed nineteen days ago,https://www.seek.com.au/job/90266818?type=standard&ref=search-standalone&origin=jobCard#sol=8d6e1d8fb60e910e5f5006583db62cc4677417ed
Senior Software Engineer - Azure Data Lake Storage Gen 2,Microsoft,Sydney NSW,Listed seventeen days ago,https://www.seek.com.au/job/90323852?type=standard&ref=search-standalone&origin=jobCard#sol=1163a5ded042cc5076102710e5510de00a12d111
Senior Odoo Developer,,Sydney NSW,Listed nineteen days ago,https://www.seek.com.au/job/90290772?type=standard&ref=search-standalone&origin=jobCard#sol=44c3cba95a25bb65fa13c72a739b23021bc6287a
Applications Developer,Abbotsleigh School,Wahroonga,Listed ten days ago,https://www.seek.com.au/job/90461465?type=standard&ref=search-standalone&origin=jobCard#sol=81bdde236be0da349f64292bfc992c1b7fe7f4fb
